Fecha,Importe,Comensales,TipoServicio,Hora
2025-01-01,150.61,1,Desayuno,13:30
2025-01-01,198.05,6,Desayuno,09:00
2025-01-02,185.29,1,Cena,13:30
2025-01-02,164.86,4,Cena,13:30
2025-01-02,158.36,1,Cena,13:30
2025-01-03,163.19,5,Cena,21:00
2025-01-03,139.69,5,Cena,13:30
2025-01-04,92.67,4,Desayuno,09:00
2025-01-04,165.51,6,Cena,21:00
2025-01-04,91.97,4,Desayuno,21:00
2025-01-05,25.34,5,Almuerzo,21:00
2025-01-05,101.38,2,Almuerzo,21:00
2025-01-06,31.39,5,Desayuno,09:00
2025-01-06,145.91,6,Desayuno,13:30
2025-01-06,105.73,6,Desayuno,13:30
2025-01-07,143.0,2,Almuerzo,13:30
2025-01-08,91.37,3,Cena,13:30
2025-01-08,115.12,2,Desayuno,13:30
2025-01-08,144.5,4,Desayuno,09:00
2025-01-09,79.32,1,Desayuno,13:30
2025-01-09,96.78,5,Cena,13:30
2025-01-09,92.17,6,Desayuno,09:00
2025-01-10,52.54,1,Desayuno,21:00
2025-01-11,124.12,3,Cena,13:30
2025-01-11,31.68,1,Almuerzo,13:30
2025-01-11,64.88,3,Cena,09:00
2025-01-12,82.14,1,Almuerzo,13:30
2025-01-13,40.04,6,Desayuno,21:00
2025-01-14,123.91,6,Desayuno,21:00
2025-01-15,197.12,3,Desayuno,13:30
2025-01-15,169.36,5,Desayuno,21:00
2025-01-16,107.74,1,Desayuno,09:00
2025-01-16,71.21,6,Cena,21:00
2025-01-17,133.36,1,Almuerzo,21:00
2025-01-18,52.15,2,Desayuno,21:00
2025-01-19,113.32,3,Cena,21:00
2025-01-19,40.43,5,Desayuno,09:00
2025-01-20,199.55,2,Desayuno,21:00
2025-01-20,111.76,6,Desayuno,09:00
2025-01-21,40.95,1,Cena,09:00
2025-01-21,102.29,3,Desayuno,21:00
2025-01-22,89.76,6,Almuerzo,21:00
2025-01-22,117.11,3,Cena,09:00
2025-01-23,34.95,1,Cena,09:00
2025-01-23,34.69,2,Cena,21:00
2025-01-23,195.76,6,Almuerzo,13:30
2025-01-24,160.62,5,Cena,09:00
2025-01-24,162.47,5,Desayuno,13:30
2025-01-25,146.41,5,Almuerzo,09:00
2025-01-25,175.65,5,Desayuno,09:00
2025-01-26,156.26,1,Desayuno,13:30
2025-01-26,148.95,2,Almuerzo,13:30
2025-01-27,47.87,1,Cena,09:00
2025-01-28,188.07,1,Cena,21:00
2025-01-28,92.47,6,Desayuno,13:30
2025-01-28,151.47,6,Desayuno,21:00
2025-01-29,180.88,5,Cena,09:00
2025-01-29,27.32,5,Almuerzo,21:00
2025-01-30,78.72,2,Desayuno,21:00
2025-01-30,118.24,1,Cena,21:00
2025-01-31,111.2,5,Almuerzo,13:30
2025-01-31,67.66,4,Desayuno,13:30
2025-02-01,98.2,6,Almuerzo,13:30
2025-02-01,23.46,4,Almuerzo,21:00
2025-02-02,190.73,3,Almuerzo,13:30
2025-02-02,127.37,4,Desayuno,21:00
2025-02-02,155.82,4,Cena,13:30
2025-02-03,188.94,4,Desayuno,09:00
2025-02-03,45.97,1,Desayuno,21:00
2025-02-03,149.6,5,Desayuno,13:30
2025-02-04,84.86,6,Cena,09:00
2025-02-05,20.31,3,Desayuno,09:00
2025-02-05,180.52,6,Desayuno,21:00
2025-02-05,60.74,6,Cena,09:00
2025-02-06,51.4,1,Almuerzo,21:00
2025-02-07,23.34,4,Desayuno,09:00
2025-02-07,157.47,1,Almuerzo,09:00
2025-02-07,133.54,4,Almuerzo,09:00
2025-02-08,178.11,4,Cena,09:00
2025-02-08,112.37,1,Cena,09:00
2025-02-08,146.16,1,Desayuno,09:00
2025-02-09,119.18,5,Almuerzo,21:00
2025-02-09,82.18,5,Cena,13:30
2025-02-10,162.48,2,Cena,09:00
2025-02-10,49.68,5,Desayuno,21:00
2025-02-10,128.97,5,Desayuno,09:00
2025-02-11,128.51,2,Desayuno,21:00
2025-02-12,59.13,1,Cena,09:00
2025-02-12,196.02,3,Almuerzo,13:30
2025-02-12,118.94,3,Cena,21:00
2025-02-13,34.84,3,Cena,13:30
2025-02-14,79.5,6,Desayuno,21:00
2025-02-14,149.88,3,Cena,13:30
2025-02-15,93.53,1,Almuerzo,21:00
2025-02-15,94.53,5,Almuerzo,09:00
2025-02-15,28.06,6,Cena,13:30
2025-02-16,179.97,3,Almuerzo,09:00
2025-02-16,66.42,5,Cena,13:30
2025-02-16,163.6,6,Desayuno,09:00
2025-02-17,26.07,5,Cena,09:00
2025-02-17,22.2,3,Almuerzo,13:30
2025-02-18,125.08,6,Almuerzo,21:00
2025-02-19,134.18,4,Almuerzo,09:00
2025-02-19,175.19,3,Almuerzo,21:00
2025-02-19,178.17,5,Cena,09:00
2025-02-20,154.5,6,Desayuno,09:00
2025-02-20,174.92,1,Cena,21:00
2025-02-20,162.14,6,Cena,21:00
2025-02-21,188.93,6,Almuerzo,13:30
2025-02-22,189.83,3,Desayuno,13:30
2025-02-23,167.02,2,Almuerzo,13:30
2025-02-23,62.09,6,Desayuno,09:00
2025-02-24,54.73,4,Almuerzo,21:00
2025-02-25,43.12,1,Almuerzo,09:00
2025-02-26,92.22,6,Desayuno,21:00
2025-02-27,84.32,3,Desayuno,09:00
2025-02-27,121.25,4,Almuerzo,09:00
2025-02-28,88.69,3,Cena,13:30
2025-02-28,70.62,1,Desayuno,21:00
2025-03-01,41.93,5,Almuerzo,21:00
2025-03-02,153.1,6,Desayuno,09:00
2025-03-02,108.02,5,Almuerzo,09:00
2025-03-03,199.65,5,Almuerzo,09:00
2025-03-03,60.21,5,Cena,13:30
2025-03-03,157.01,6,Desayuno,13:30
2025-03-04,135.69,4,Almuerzo,13:30
2025-03-04,190.3,2,Almuerzo,21:00
2025-03-04,67.03,6,Almuerzo,13:30
2025-03-05,101.43,6,Cena,13:30
2025-03-05,169.79,1,Cena,21:00
2025-03-06,25.17,1,Almuerzo,09:00
2025-03-07,112.14,3,Desayuno,13:30
2025-03-07,88.08,2,Desayuno,13:30
